dt1,open,high,low,close,volume
2022-11-12 11:00:00,1259.72,1265.42,1252.29,1260.5,16505.9213
2022-11-12 12:00:00,1260.5,1269.75,1253.06,1268.73,22704.0454
2022-11-12 13:00:00,1268.72,1270.0,1258.31,1266.14,18501.8638
2022-11-12 14:00:00,1266.13,1285.52,1259.73,1276.5,31920.8555
2022-11-12 15:00:00,1276.5,1282.98,1271.05,1274.8,19614.0963
2022-11-12 16:00:00,1274.81,1278.88,1267.66,1271.73,16366.6026
2022-11-12 17:00:00,1271.74,1276.5,1267.71,1273.11,15501.2208
2022-11-12 18:00:00,1273.11,1274.0,1263.0,1269.07,10386.0153
2022-11-12 19:00:00,1269.07,1270.5,1264.56,1268.45,8129.0573
2022-11-12 20:00:00,1268.45,1268.95,1264.59,1266.0,6611.6712
2022-11-12 21:00:00,1266.01,1267.0,1252.03,1258.2,15011.3593
2022-11-12 22:00:00,1258.2,1264.57,1256.18,1260.68,7554.0792
2022-11-12 23:00:00,1260.67,1260.94,1247.31,1257.25,14113.0421
2022-11-13 00:00:00,1257.25,1266.8,1253.45,1260.19,11844.0441
2022-11-13 01:00:00,1260.19,1268.93,1259.29,1264.23,8808.7589
2022-11-13 02:00:00,1264.23,1268.2,1261.38,1268.2,8129.7729
2022-11-13 03:00:00,1268.19,1274.03,1264.94,1272.15,14903.4458
2022-11-13 04:00:00,1272.14,1274.23,1264.74,1266.54,12919.0389
2022-11-13 05:00:00,1266.53,1268.49,1264.18,1264.19,12745.4992
2022-11-13 06:00:00,1264.18,1265.82,1248.39,1248.49,41812.4279
2022-11-13 07:00:00,1248.49,1256.56,1230.33,1250.93,44432.9064
2022-11-13 08:00:00,1250.94,1253.22,1222.0,1231.06,24289.0565
2022-11-13 09:00:00,1231.06,1233.33,1212.0,1226.88,58001.4279
2022-11-13 10:00:00,1226.87,1235.93,1222.0,1230.06,21479.1861
2022-11-13 11:00:00,1230.05,1247.76,1226.07,1240.44,29369.498
2022-11-13 12:00:00,1240.43,1243.28,1234.95,1236.77,13506.0703
